file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '7', '3']FLIR10192.jpg, 2022:09:23 10:44:18, *273
, ['2', '7', '3']FLIR10193.jpg, 2022:09:23 10:44:34, *273
, ['2', '7', '3']FLIR10194.jpg, 2022:09:23 10:44:46, *272
, ['2', '7', '2']FLIR10195.jpg, 2022:09:23 10:45:09, *272
, ['2', '7', '2']FLIR10196.jpg, 2022:09:23 10:45:18, *273
, ['2', '7', '3']FLIR10197.jpg, 2022:09:23 10:45:34, *272
, ['2', '7', '2']FLIR10198.jpg, 2022:09:23 10:45:48, *273
, ['2', '7', '3']FLIR10199.jpg, 2022:09:23 10:46:04, *271
, ['2', '7', '1']FLIR10200.jpg, 2022:09:23 10:46:18, *271
, ['2', '7', '1']FLIR10201.jpg, 2022:09:23 10:46:34, *269
, ['2', '6', '9']FLIR10202.jpg, 2022:09:23 10:46:48, *267
, ['2', '6', '7']FLIR10203.jpg, 2022:09:23 10:47:04, *267
, ['2', '6', '7']FLIR10204.jpg, 2022:09:23 10:47:19, *266
, ['2', '6', '6']FLIR10205.jpg, 2022:09:23 10:47:34, *265
, ['2', '6', '5']FLIR10206.jpg, 2022:09:23 10:47:49, *264
, ['2', '6', '4']FLIR10207.jpg, 2022:09:23 10:48:04, *264
, ['2', '6', '4']FLIR10208.jpg, 2022:09:23 10:48:18, *260
, ['2', '6', '0']FLIR10209.jpg, 2022:09:23 10:48:33, *258
, ['2', '5', '8']FLIR10210.jpg, 2022:09:23 10:48:49, *258
, ['2', '5', '8']FLIR10211.jpg, 2022:09:23 10:49:03, *258
, ['2', '5', '8']FLIR10212.jpg, 2022:09:23 10:49:19, *258
, ['2', '5', '8']FLIR10213.jpg, 2022:09:23 10:49:33, *259
, ['2', '5', '9']FLIR10214.jpg, 2022:09:23 10:49:49, *259
, ['2', '5', '9']FLIR10215.jpg, 2022:09:23 10:50:10, *260
, ['2', '6', '0']FLIR10216.jpg, 2022:09:23 10:50:19, *259
, ['2', '5', '9']FLIR10217.jpg, 2022:09:23 10:50:33, *259
, ['2', '5', '9']FLIR10218.jpg, 2022:09:23 10:50:50, *259
